Gene ID,Adrenal Gland,Cerebral Cortex,Colon,Esophagus,Gallbladder,Heart,Kidney,Liver,Lung,Ovary,Pancreas,Placenta,Prostate,Rectum,Testis,Urinary Bladder
ENSG00000004975,16,14,12,23,23,8,9,3,24,53,3,26,33,11,29,20
ENSG00000005001,0,0,0.7,69,44,0,3,0.3,11,0.2,3,10,17,5,0.1,33
ENSG00000005007,34,32,30,29,43,13,29,13,41,51,14,56,52,18,77,38
ENSG00000005020,49,39,50,32,39,3,39,11,70,46,2,17,22,43,37,74
ENSG00000005022,285,311,914,609,328,199,705,339,384,211,235,486,252,1032,178,503
ENSG00000005059,4,6,10,11,20,3,2,2,16,15,0.5,16,5,13,7,19
ENSG00000005073,0.9,0,7,0,0,0,4,0,0,1,0,25,24,9,1,15
ENSG00000005075,56,36,33,24,38,33,26,27,44,62,11,54,54,31,45,35
ENSG00000005100,12,23,12,15,17,5,8,7,16,19,3,19,16,14,18,15
ENSG00000005102,1,0,5,7,14,22,0,0,2,0.3,0.2,0.2,3,6,4,23
ENSG00000005108,2,9,2,2,11,0.7,17,1,5,9,0.2,15,9,2,3,8
ENSG00000005156,6,7,6,8,8,3,4,2,7,14,2,10,14,8,23,8
ENSG00000005175,17,32,17,21,30,10,12,9,18,42,2,21,24,19,28,28
ENSG00000005187,2,0.4,15,1,10,4,27,50,7,198,8,2,26,15,21,5
ENSG00000005189,2,3,3,4,4,2,1,1,2,2,0.3,3,13,4,758,5
ENSG00000005194,31,39,30,32,34,24,25,14,32,20,4,48,27,38,130,36
ENSG00000005206,10,12,18,6,15,4,9,3,15,11,5,18,21,11,43,9
ENSG00000005238,11,18,12,19,22,9,7,2,19,10,1,15,12,13,10,15
ENSG00000005243,22,10,10,15,37,22,13,22,18,10,5,31,41,15,25,26
ENSG00000005249,152,88,28,70,36,26,12,6,18,168,8,69,42,32,73,47
ENSG00000005302,13,20,14,17,30,5,7,6,28,15,2,20,18,19,28,31
ENSG00000005339,15,26,18,20,27,7,14,9,28,53,6,27,24,15,48,24
ENSG00000005379,13,50,3,5,11,4,5,0.8,15,30,2,3,25,4,3,5
ENSG00000005381,0.5,2,0.2,0.3,0.6,0.2,0,1,0.4,0.1,0,6,0.6,0.3,1,0.8
ENSG00000005421,6,1,0.2,0,5,0,0.3,452,0.6,1,0,0.1,0.3,0.3,0.6,0
ENSG00000005436,15,11,12,12,16,7,13,12,14,24,3,17,23,12,22,16
ENSG00000005448,8,14,5,3,11,2,7,0.6,14,16,1,10,9,6,45,10
ENSG00000005469,17,16,22,26,34,4,18,19,15,20,2,27,44,18,6,72
ENSG00000005471,10,0.7,0.8,1,2,5,0.9,97,0.3,0.7,0,0.7,0.6,2,2,3
ENSG00000005483,30,58,51,39,62,16,25,14,58,97,7,44,51,52,43,58
ENSG00000005486,189,221,36,46,79,22,60,27,145,66,15,61,100,35,132,65
ENSG00000005513,2,48,0.8,0.5,2,1,0.2,0.1,0.6,0.2,0.5,2,1,1,5,0.3
ENSG00000005700,64,35,41,35,44,18,30,40,32,45,7,29,41,42,23,42
ENSG00000005801,8,16,13,7,15,4,8,4,13,9,2,10,15,19,8,16
ENSG00000005810,17,42,16,31,29,8,16,8,21,57,4,19,25,18,32,31
ENSG00000005812,38,43,36,48,53,15,34,19,53,79,5,51,49,34,55,52
ENSG00000005844,3,4,10,7,28,1,2,9,68,6,0.3,9,7,17,3,32
ENSG00000005882,29,29,16,12,15,32,41,13,16,43,5,14,18,13,12,16
ENSG00000005884,26,9,30,17,41,6,27,1,135,21,3,51,27,20,5,57
ENSG00000005889,16,17,14,15,18,9,14,12,21,43,3,28,34,13,13,18
ENSG00000005893,102,240,81,146,244,35,125,138,139,135,20,147,207,80,69,129
ENSG00000005961,0.2,1,0.1,0.3,3,0.2,0.2,0.2,3,2,0,2,1,0.3,5,0.5
ENSG00000005981,76,1,0.1,0.1,0.4,2,0.3,1,1,0.5,0.2,5,0.1,0.1,1,0
ENSG00000006007,41,69,81,51,56,42,35,20,70,30,8,52,71,85,42,74
ENSG00000006015,9,13,8,2,3,2,8,3,9,11,2,9,15,4,4,3
ENSG00000006016,6,13,2,6,3,4,1,0.5,5,2,1,16,1,1,3,4
ENSG00000006025,5,10,15,4,15,3,3,0.3,15,14,3,7,17,17,3,10
ENSG00000006042,25,39,56,19,91,10,17,9,56,172,10,26,71,58,21,43
ENSG00000006047,0.1,1,15,2,0.3,0.5,0.9,0.5,0.4,0.3,0.1,0.3,1,10,497,0.8
ENSG00000006059,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0
ENSG00000006062,12,8,9,20,21,6,4,6,21,15,3,8,14,12,25,20
ENSG00000006071,14,19,0.6,0.1,0.4,1,0.4,0,0.3,0.5,8,2,4,0.9,1,0.3
ENSG00000006116,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
ENSG00000006118,4,57,2,3,7,1,2,0.1,5,7,0.6,28,5,1,5,5
ENSG00000006125,83,297,120,56,125,50,86,29,122,149,11,127,92,160,260,104
ENSG00000006128,16,97,4,0,18,0.2,2,0,0,0,0.2,0,2,4,0.5,0.4
ENSG00000006194,14,16,11,11,20,4,8,6,18,28,3,18,19,13,17,15
ENSG00000006210,6,81,7,16,35,10,23,14,113,6,3,3,55,8,8,29
ENSG00000006282,47,26,24,26,46,29,20,9,33,77,11,31,65,25,167,36
ENSG00000006283,0.1,12,0.1,0.9,0.4,0.4,0,0,0.3,2,0,0.8,2,0.2,1,0.3
ENSG00000006327,16,2,13,5,76,21,13,33,61,2,23,59,18,5,4,16
ENSG00000006377,0.1,2,0,0,0,0,0,0,0,0.4,0,8,0.4,0.1,7,0.4
ENSG00000006432,2,21,4,13,2,0.4,3,0.3,6,2,1,2,2,4,16,3
ENSG00000006451,69,79,68,117,91,16,27,22,139,59,6,74,41,67,35,59
ENSG00000006453,17,1,42,28,41,1,7,17,28,3,6,28,61,45,26,25
ENSG00000006459,7,17,34,21,26,6,10,13,21,10,3,31,14,33,34,22
ENSG00000006468,31,38,5,3,28,20,2,2,53,1,0.5,3,7,5,10,6
ENSG00000006530,17,24,11,14,17,14,11,5,18,17,2,13,20,18,11,16
ENSG00000006534,14,3,8,6,12,2,15,0.9,68,2,1,18,3,6,3,16
ENSG00000006555,2,0.1,17,54,5,0,6,0.7,5,0.5,2,0.2,6,16,0.8,5
ENSG00000006576,8,13,11,15,20,9,6,4,14,15,1,17,11,10,20,24
ENSG00000006606,2,0.2,1,1,1,0.3,0.4,0.3,0.7,15,0,0.2,1,3,2,0.9
ENSG00000006607,7,10,16,12,12,2,6,4,10,10,2,9,8,16,22,10
ENSG00000006611,0.5,7,60,0,54,0.1,53,0.5,0,0,1,0,0.1,62,0.8,0
ENSG00000006625,40,44,59,75,59,14,31,22,36,30,7,70,57,58,23,55
ENSG00000006634,4,4,10,6,6,1,2,2,5,7,0.9,8,7,10,152,9
ENSG00000006638,9,0.7,2,3,5,2,3,3,6,1,0.1,12,3,1,1,3
ENSG00000006652,34,27,17,19,27,8,11,9,25,25,26,21,30,18,35,22
ENSG00000006659,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
ENSG00000006695,9,13,24,19,13,22,13,6,12,13,3,19,14,27,64,19
ENSG00000006704,9,6,5,23,11,5,8,1,8,13,3,7,14,5,8,11
ENSG00000006712,65,65,42,50,73,29,51,43,67,101,10,60,84,41,155,61
ENSG00000006715,28,82,27,31,65,14,22,13,39,47,6,35,37,26,29,41
ENSG00000006740,4,31,22,2,14,3,3,0.5,26,10,1,19,7,19,6,3
ENSG00000006744,35,26,24,30,30,19,21,13,30,30,5,29,33,28,45,30
ENSG00000006747,1,6,19,20,5,0.1,30,0.1,6,0.8,0.2,27,4,16,6,3
ENSG00000006756,15,8,32,16,36,5,69,26,45,50,10,21,44,30,10,26
ENSG00000006757,31,17,13,13,13,17,36,15,18,33,5,9,23,12,11,11
ENSG00000006788,0,0,0.1,0.2,0.1,0,0,0,0,0,0,2,0,0.1,0.7,0
ENSG00000006831,118,82,66,86,57,23,32,81,66,55,20,50,49,66,80,36
ENSG00000006837,2,2,0.6,1,1,0.8,0.9,0.3,0.6,2,0.1,1,2,0.6,17,1
ENSG00000007001,0.1,5,0,0,0.2,0,43,6,0,1,0,0.1,0.2,0.1,0.3,0
