Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Adrenal Gland,0.6337360248399202,0.48384290213189374,0.6337360248399161,0.4838429021318925,0.22182584833564686,0.4810549855547731,0.3403535606269227,0.7463781961808058,0.49831657091724846,0.9656636866758291,0.6474556288977347,0.265950277829782,0.867468923821207,0.4036560047290515,0.355968705521188,0.6962853467261553,0.007298431793917178,0.6962853467261574,0.007298431793917236,0.5066425214001986,0.4274904972635486,0.41029654334557675,0.621117865421353,0.8468491572683865,0.25713107683158565,0.41860419796265336,0.7310156216600647,0.5471110995075201,0.033769430868690456,0.794413857867603,0.2709476278160031,0.6687630779842371,0.6012369973575895,0.6687630779842371,0.6012369973575876,0.5346871561103208,0.9363878819651639,0.837060921579798,0.40762229520113635,0.8405598764677595,0.545826180594182,0.18543611469222931,0.6104090849201375,0.5784026260594273,0.8318797522714569,0.24058700259203222,0.07312264818120415,0.1267258304152613,0.8743907953735943,0.1463974265972804,0.8743907953735983,0.5971062008075133,0.8106240681303796,0.9469232950137996,0.7527687884160041,0.00958931547160517,0.366093824662466,0.3660938246624674,0.43022515793862093,0.3626023077963866,0.061315237402946525,0.36260230779638636
Cerebral Cortex,0.9953809534538247,0.5543173823199063,0.9953809534538268,0.5543173823199046,0.8463195310308933,0.2592016023662213,0.8514546749849433,0.09401783705825366,0.9093154444619229,0.6935309613470608,0.757718428913303,0.0721102941739855,0.7915021356759291,0.26148108309970924,0.2366253455154505,0.5523737293686366,0.22735675512822873,0.5523737293686324,0.22735675512822873,0.09547729794648055,0.27722487211866303,0.5585933870668923,0.31050153766690186,0.8062481546247061,0.7528739774656075,0.9331826588988246,0.5404273575215119,0.13836192072125955,0.06366596652848762,0.23391561007198797,0.4857588528886524,0.49279047521768715,0.8782165694237785,0.4927904752176838,0.8782165694237785,0.8311407867119588,0.5635812568315708,0.381025565855749,0.8716987675149837,0.510950160338453,0.8835589692175309,0.039851847126474604,0.003952133678613262,0.4908601623195813,0.5326360600103897,0.8872733281934042,0.1940600385391474,0.9714550151158653,0.10313973417655778,0.8877128895556006,0.10313973417655735,0.9190997664010999,0.8182603004207873,0.7390353548116948,0.24862400444767696,0.8800467021594969,0.9593411487261294,0.9593411487261313,0.278641918988735,0.7457567846426139,0.2978842058948836,0.745756784642612
Colon,0.9237728221533804,0.7431531670197763,0.923772822153376,0.7431531670197763,0.6029745728749958,0.033772768523399936,0.14949188785186135,0.5044476091958459,0.1551033966056671,0.7886040970010958,0.3720070980993876,0.9394369226395869,0.9968435310909982,0.6276574905374942,0.5359985272972992,0.4505563317726111,0.3672757512158592,0.4505563317726111,0.3672757512158592,0.902451109851133,0.5537203378681793,0.9455105288706729,0.6503499841040754,0.47392339347043744,0.06996138827552707,0.8745804541086826,0.6718967752202414,0.9021059249238326,0.524592484153409,0.5878944599242413,0.20042035295286445,0.7552552545516813,0.2443935218912643,0.7552552545516813,0.24439352189126218,0.7840452804082382,0.7217146048918659,0.23042232544422034,0.28853077205005206,0.45585252914833585,0.6776602604309729,0.2464801927911857,0.05667965397495394,0.3239730267284412,0.2496095674478594,0.6878065871832095,0.7554548752477704,0.41394552727232947,0.7396162895555485,0.554402853937143,0.7396162895555485,0.06108703296127646,0.3276363664456915,0.2327747890608772,0.8771178349566712,0.2292995434993763,0.6151851571105154,0.6151851571105171,0.2929921871137991,0.6332338313929551,0.6228599359840759,0.6332338313929552
Esophagus,0.9810581111000094,0.0711180190471978,0.9810581111000161,0.07111801904719826,0.04713397416822667,0.24882322127668663,0.7373865269703648,0.36473700606577164,0.002900907752150497,0.8370729430451649,0.45449722025162065,0.19197986449823415,0.48632222038937245,0.25275518896208227,0.3801986784030821,0.511929854799136,0.8942546313158223,0.51192985479914,0.8942546313158223,0.6367715818546952,0.7601014077174052,0.6058679300887044,0.21625129608460397,0.5786589378540425,0.015545379926772062,0.8930193438317705,0.7802222210456338,0.4686208745101249,0.29741162246333797,0.006165868550850594,0.8012049981620155,0.446661668801857,0.006110078003966054,0.44666166880185376,0.006110078003966109,0.019702737891090085,0.05676656731245344,0.7995605165977058,0.7308218273211078,0.06493153541357626,0.11991513617361524,0.4658895036807241,0.26685319406762753,0.20996738047837452,0.6030959357268758,0.3695881662522652,0.6669528994843376,0.4779168616034465,0.21294852455523508,0.5846178479490605,0.21294852455523508,0.1238579924144608,0.06991210740101554,0.6052917701024529,0.8152185413136631,0.27413681508150506,0.7173463442410188,0.7173463442410172,0.009125987595495138,0.9896785753540076,0.42279060484094666,0.9896785753540076
Gallbladder,0.1686469026412046,0.1587299683535781,0.1686469026412046,0.1587299683535781,0.15171844829050957,0.9548249204829896,0.0325087112893398,0.6873886335960505,0.3941075247423992,0.8067687349104791,0.3376532139278148,0.42007004291279426,0.0891234462610665,0.31746245113378274,0.9071410416242482,0.12062697653997324,0.3290977774690619,0.12062697653997388,0.3290977774690641,0.2447731917036555,0.6447213244324248,0.9711208497052906,0.11372035053699704,0.6031316201308407,0.041688422027083887,0.7837170485331764,0.2530431135494535,0.5286293725705893,0.9249509736595656,0.011224997335282906,0.004731511518033902,0.22756744794537387,0.8008600386781745,0.227567447945375,0.8008600386781678,0.6223445181836427,0.3305838676785845,0.31952670717036924,0.37943276737874765,0.12610386358313683,0.5250167062046431,0.49888237901440424,0.5637125361163354,0.5880163149377351,0.9601380478719639,0.051515219790663765,0.04002346089013879,0.8408655780041164,0.019420871992453816,0.9131080728246792,0.019420871992453674,0.36233740975751605,0.21551369568670842,0.14267796457080534,0.7276318992639762,0.9295738529185639,0.09837815316103109,0.0983781531610316,0.5039961708709857,0.13472557935337595,0.3368143169792961,0.13472557935337595
Heart,0.1320064603175474,0.1494643428242244,0.1320064603175474,0.1494643428242244,0.25043175227932246,0.41185097869604204,0.5195796026891937,0.4466463543562348,0.6800190853430149,0.7741287556986621,0.48767501693752313,0.7085421150964353,0.0958704590131004,0.8938955274317509,0.25364292959726675,0.8305065189734678,0.7992591477662625,0.8305065189734724,0.7992591477662625,0.8832520768739602,0.5120165970928093,0.23220916803600924,0.7190286135739234,0.8400314498587548,0.6813457583304727,0.8994455985436175,0.9544978504747115,0.037771461874824185,0.18686959249035845,0.6577344162040177,0.006157394864421195,0.7870725710310668,0.8142159604433457,0.7870725710310648,0.8142159604433497,0.0852024899139755,0.6295193419668028,0.7923512533990291,0.3702256514950816,0.9592401578787515,0.6506173002755989,0.4161300365892884,0.16649041849932358,0.16881879291062932,0.8967212831243228,0.6437851053856074,0.683557056334922,0.7086704647633397,0.7021597769265223,0.33212649872158584,0.7021597769265241,0.7582016637149945,0.5339070461656669,0.5012189450361205,0.9032577880317791,0.6594873428595283,0.6720918499860533,0.6720918499860514,0.22213694435041018,0.6004639867577906,0.793447082144489,0.6004639867577924
Kidney,0.045361031390416584,0.0818258808671175,0.045361031390416896,0.08182588086711831,0.2461842471100675,0.2294043018526307,0.4095461970920633,0.6143245667649608,0.18443646537150304,0.7883377237248426,0.3397726913394228,0.08236932526659584,0.05469261745334114,0.3205435259656803,0.8259240819111854,0.21760812081840086,0.15338241010181816,0.21760812081839978,0.15338241010181816,0.046361373138612307,0.1582068675201909,0.7736499410481306,0.46718117677925575,0.5442610352363149,0.21461718032659294,0.24818198063464644,0.5990592726129569,0.37854665098178264,0.9984417196427937,0.3931785822664916,0.8345663670108544,0.9470266989809886,0.9688304053146115,0.9470266989809907,0.9688304053146135,0.019281792663290314,0.5301260650584314,0.2789710435154034,0.43413434394081685,0.10737878769886663,0.23483994594689497,0.7666198114803267,0.8681582103487364,0.8304194756667749,0.574321774868017,0.5809674616178833,0.28457798098511206,0.5768910216140068,0.9481113496259765,0.2636795893161512,0.9481113496259765,0.9138401082349159,0.2297361145955978,0.8658684545083111,0.7073040696268881,0.633209498840448,0.11655467429382248,0.11655467429382142,0.0772423092377307,0.5214792525510568,0.5613104237815063,0.5214792525510568
Liver,0.15943928641489485,0.22164963912330965,0.15943928641489752,0.22164963912331162,0.5238253149090373,0.12392138695462669,0.9462683905886065,0.20421364040309267,0.14990225801186216,0.42816701825396974,0.9645707490401814,0.9352052431904697,0.480256419109685,0.9777398234646585,0.6353510208732205,0.8147048099625767,0.01798350420180427,0.8147048099625745,0.01798350420180427,0.8881622996351095,0.4047647140266908,0.38087268299090404,0.8043023810166468,0.2790125611455221,0.48937814422957227,0.43536519820671526,0.06692793510643417,0.19421760773233662,0.08729926705686346,0.7222293456097542,0.8942299155569444,0.06674034195241503,0.11334471924862101,0.06674034195241503,0.11334471924862101,0.5093379590327377,0.796149776786906,0.5477373305033771,0.8616757643919486,0.9360851401877609,0.8231207876131753,0.034368470680723864,0.029591757053918616,0.826075855108287,0.018629041751297475,0.6766718051812703,0.07659445066380584,0.06284433282025127,0.7978964010276601,0.8514540163753286,0.7978964010276679,0.35263789421618996,0.930822654238535,0.31804145848079507,0.3188448681858693,0.07275080301500901,0.06381347341079592,0.06381347341079628,0.9723374495066475,0.1654339440584578,0.09374104832225026,0.16543394405845788
Lung,0.707711500957047,0.9356062692860997,0.7077115009570494,0.9356062692860997,0.9207462148841092,0.7961294686980371,0.998369279542586,0.8490751714505278,0.9477603495722957,0.6802610997069436,0.3261124824436744,0.8713985960016297,0.11139982698028132,0.21038265093535538,0.7090790010704247,0.47044800079252924,0.968493169047262,0.47044800079252924,0.9684931690472658,0.49745635203077354,0.9792257593181645,0.5326886211205711,0.7805203354732277,0.4212735475086933,0.09648993086119506,0.14580150597531283,0.9569658135104909,0.007590452848071656,0.4590211190450496,0.2334580017942197,0.7879877744542603,0.46842231363855913,0.9724246439716638,0.46842231363855935,0.9724246439716638,0.126602173997175,0.4436058405210771,0.49243039375333764,0.25329338620171366,0.5157566261977657,0.6098547519516825,0.910016077864471,0.9912009342021699,0.37583605812748344,0.004397084342822863,0.2569001407230886,0.5523032028779384,0.4794781161772089,0.8444424712445155,1.0,0.8444424712445195,0.6894736819831084,0.7995469372145094,0.36255296858801866,0.7799939961590361,0.5275937636259012,0.6748819859946932,0.6748819859946932,0.6648291446898862,0.3004639076526822,0.7538847474181385,0.3004639076526809
Ovary,0.011808420068382276,0.5131485163572562,0.011808420068382192,0.5131485163572624,0.2179140994993245,0.7123786335241302,0.10000590871525421,0.7127285887743482,0.04972357914178572,0.005204905298666602,0.42343087384936173,0.7153591829481454,0.8843480941020696,0.05958163962090279,0.014800622627448494,0.898411868314547,0.44927969752543084,0.8984118683145519,0.4492796975254295,0.24375097954450492,0.8253419575003172,0.32532975432902855,0.8639193434815968,0.07577634857157764,0.3787615923575701,0.0953364062695248,0.42144573545812947,0.2557535326327682,0.18185639481982124,0.06259498057175494,0.13046233205401392,0.1401569233828352,0.06694593555968295,0.1401569233828352,0.06694593555968331,0.5409754265939947,0.21678101330434463,0.35676681943481836,0.12502690632159683,0.2858453718740142,0.4136557734363404,0.33140353083405927,0.4381552093676737,0.19659969189175033,0.030214415670645013,0.7831006484580765,0.2110881791245789,0.08426759156884638,0.07483892818936395,0.8614647185629427,0.07483892818936354,0.0403552950400378,0.4823726808407638,0.43649304234648423,0.0021133697168677465,0.0961507499458781,0.07306859959629601,0.07306859959629601,0.25373126835005416,0.19389468384293032,0.2819634384583884,0.19389468384292946
