Adipose,2.114690180703266,0.5753425783877906,127,2.132644784723896
Adrenal Gland,2.114690180703266,0.5753425783877906,195,2.202917937571811
Bone Marrow,2.114690180703266,0.5753425783877906,504,2.2216888426574384
Cortex,2.114690180703266,0.5753425783877906,958,2.0936467206656495
Colon,2.114690180703266,0.5753425783877906,69,2.4386321514554425
Duodenum,2.114690180703266,0.5753425783877906,167,2.0867981022257927
Endometrium,2.114690180703266,0.5753425783877906,309,2.084413498098307
Esophagus,2.114690180703266,0.5753425783877906,183,2.1542050132652064
Fallopian Tube,2.114690180703266,0.5753425783877906,421,2.090797106121969
Gallbladder,2.114690180703266,0.5753425783877906,141,2.09847937980992
Heart,2.114690180703266,0.5753425783877906,98,2.1672183073315208
Kidney,2.114690180703266,0.5753425783877906,172,2.1641545073098056
Liver,2.114690180703266,0.5753425783877906,229,2.0505351939950507
Lung,2.114690180703266,0.5753425783877906,175,2.0040455739072125
Lymphatic,2.114690180703266,0.5753425783877906,426,2.13537501369559
Ovary,2.114690180703266,0.5753425783877906,502,2.1148689092247115
Pancreas,2.114690180703266,0.5753425783877906,33,2.1474536456382713
Placenta,2.114690180703266,0.5753425783877906,323,2.0653689132949538
Prostate,2.114690180703266,0.5753425783877906,204,2.2535832508297995
Rectum,2.114690180703266,0.5753425783877906,88,2.03030428080969
Salivary Gland,2.114690180703266,0.5753425783877906,67,2.3563606897773015
Skeletal Muscle,2.114690180703266,0.5753425783877906,175,2.107607272714377
Small Intestine,2.114690180703266,0.5753425783877906,160,2.118994533104516
Smooth Muscle,2.114690180703266,0.5753425783877906,124,2.0090239918263006
Spleen,2.114690180703266,0.5753425783877906,434,1.9816711536390388
Stomach,2.114690180703266,0.5753425783877906,89,2.1839115497290202
Testis,2.114690180703266,0.5753425783877906,1910,2.137141325739728
Thyroid,2.114690180703266,0.5753425783877906,813,2.0682678204882485
Tonsil,2.114690180703266,0.5753425783877906,244,2.238141659388617
Bladder,2.114690180703266,0.5753425783877906,93,2.198305211823581
Appendix,2.114690180703266,0.5753425783877906,156,2.168451716259356
Skin,2.114690180703266,0.5753425783877906,397,2.112708609318913
